Timestamp_UTC,Symbol,Side,Regime,Raw_Proba,Calib_Proba,Threshold,Expected_PF,EV_Adj,Uncertainty,Status,Reject_Reason,Outcome_1H_PnL,Outcome_6H_PnL,Outcome_12H_PnL
2026-05-06T20:00:36.656010,BNBUSDT,SHORT,0,0.383,0.383,0.99,0.0,0.0,0.0,REJECTED_T1,Low PF (0.0),,,
2026-05-06T20:00:37.645359,XRPUSDT,LONG,0,0.4431,0.4431,0.7,1.131,0.0,0.0,REJECTED_T1,Proba < Thresh (0.443 < 0.7),,,
2026-05-06T20:00:37.645359,XRPUSDT,SHORT,0,0.342,0.342,0.99,0.0,0.0,0.0,REJECTED_T1,Low PF (0.0),,,
2026-05-06T20:00:38.421665,DOGEUSDT,LONG,0,0.3665,0.3665,0.7,1.131,0.0,0.0,REJECTED_T1,Proba < Thresh (0.367 < 0.7),,,
2026-05-06T20:00:38.421665,DOGEUSDT,SHORT,0,0.4984,0.4984,0.99,0.0,0.0,0.0,REJECTED_T1,Low PF (0.0),,,
2026-05-06T20:00:39.199383,AVAXUSDT,LONG,0,0.1339,0.1339,0.7,1.131,0.0,0.0,REJECTED_T1,Proba < Thresh (0.134 < 0.7),,,
2026-05-06T20:00:39.199383,AVAXUSDT,SHORT,0,0.4937,0.4937,0.99,0.0,0.0,0.0,REJECTED_T1,Low PF (0.0),,,
2026-05-06T20:00:40.177805,LINKUSDT,LONG,0,0.2102,0.2102,0.7,1.131,0.0,0.0,REJECTED_T1,Proba < Thresh (0.210 < 0.7),,,
2026-05-06T20:00:40.177805,LINKUSDT,SHORT,0,0.4057,0.4057,0.99,0.0,0.0,0.0,REJECTED_T1,Low PF (0.0),,,
2026-05-06T20:00:40.966276,NEARUSDT,LONG,0,0.0792,0.0792,0.7,1.131,0.0,0.0,REJECTED_T1,Proba < Thresh (0.079 < 0.7),,,
2026-05-06T20:00:40.967272,NEARUSDT,SHORT,0,0.4321,0.4321,0.99,0.0,0.0,0.0,REJECTED_T1,Low PF (0.0),,,
2026-05-06T20:00:41.739500,ADAUSDT,LONG,0,0.1078,0.1078,0.7,1.131,0.0,0.0,REJECTED_T1,Proba < Thresh (0.108 < 0.7),,,
2026-05-06T20:00:41.740498,ADAUSDT,SHORT,0,0.5335,0.5335,0.99,0.0,0.0,0.0,REJECTED_T1,Low PF (0.0),,,
2026-05-06T20:00:42.251705,BTCUSDT,LONG,0,0.2796,0.2796,0.7,1.131,0.0,0.0,REJECTED_T1,Proba < Thresh (0.280 < 0.7),,,
2026-05-06T20:00:42.251705,BTCUSDT,SHORT,0,0.6708,0.6708,0.99,0.0,0.0,0.0,REJECTED_T1,Low PF (0.0),,,
